BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
3003060041,179 BALTIC ST,5,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
3003560040,93 1ST PL,5,2,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3005340010,421 COLUMBIA ST,5,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3006330048,151 19TH ST,5,5,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
3007090053,455 40TH ST,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
3009360008,76 TO 78 SAINT MARKS AVE,5,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
3009760056,461 3RD ST,5,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3009960040,149 8TH ST,5,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3010800004,219 7TH AVE,5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3011570034,632 CARLTON AVE,5,3,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
3012820075,1107 CARROLL ST,5,4,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3018870091,148 CLINTON ST,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3021000076,99 LAFAYETTE AVE,5,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
3025620020,78 GREENPOINT AVE,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
3026180056,154 GUERNSEY ST,5,4,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
3046700001,1115 WILLMOHR ST,5,4,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
3048200001,665 NEW YORK AVE,5,3,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
3048810034,4411 CHURCH AVE,5,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3053170011,170 E 4TH ST,5,4,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
3053200009,31 OCEAN PKWY,5,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
3060600051,151 89TH ST,5,5,5,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0
3062530001,7705 BAY PKWY,5,4,4,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
3066350025,1740 E 4TH ST,5,4,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
3071980006,410 AVENUE X,5,5,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0
3087640010,2750 HOMECREST AVE,5,4,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3087650019,3232 SHORE PKWY,5,4,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
3088070135,3191 EMMONS AVE,5,4,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
4001680001,43-09 47TH AVE,5,5,4,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
4003110019,31-34 GREENPOINT AVE,5,4,4,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
4003970014,27-08 39TH AVE,5,5,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
4005790036,31-35 CRESCENT ST,5,4,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
4006480059,31-44 36TH ST,5,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
4006750018,34-03 42ND ST,5,3,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4007310007,44-07 30TH AVE,5,2,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
